{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 14845, 'thing_id': '1-new', 'counter': 92}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 13795, 'thing_id': '1-new', 'counter': 93}}
{'water-level': {'capacity': 1000.0, 'volume': 724.295, 'timer': 16592, 'thing_id': '1-new', 'counter': 94}}
{'water-level': {'capacity': 1000.0, 'volume': 723.952, 'timer': 13635, 'thing_id': '1-new', 'counter': 95}}
{'water-level': {'capacity': 1000.0, 'volume': 724.123, 'timer': 16090, 'thing_id': '1-new', 'counter': 96}}
{'water-level': {'capacity': 1000.0, 'volume': 724.123, 'timer': 18565, 'thing_id': '1-new', 'counter': 97}}
{'water-level': {'capacity': 1000.0, 'volume': 723.952, 'timer': 16322, 'thing_id': '1-new', 'counter': 98}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 19385, 'thing_id': '1-new', 'counter': 99}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 15320, 'thing_id': '1-new', 'counter': 100}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16238, 'thing_id': '1-new', 'counter': 101}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 19971, 'thing_id': '1-new', 'counter': 102}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 15127, 'thing_id': '1-new', 'counter': 103}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 14802, 'thing_id': '1-new', 'counter': 104}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 14073, 'thing_id': '1-new', 'counter': 105}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 14438, 'thing_id': '1-new', 'counter': 106}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 16889, 'thing_id': '1-new', 'counter': 107}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13689, 'thing_id': '1-new', 'counter': 108}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 13984, 'thing_id': '1-new', 'counter': 109}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 14550, 'thing_id': '1-new', 'counter': 110}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 13985, 'thing_id': '1-new', 'counter': 111}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16757, 'thing_id': '1-new', 'counter': 112}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13665, 'thing_id': '1-new', 'counter': 113}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13780, 'thing_id': '1-new', 'counter': 114}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 13961, 'thing_id': '1-new', 'counter': 115}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 14279, 'thing_id': '1-new', 'counter': 116}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16652, 'thing_id': '1-new', 'counter': 117}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 14131, 'thing_id': '1-new', 'counter': 118}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 13833, 'thing_id': '1-new', 'counter': 119}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 16849, 'thing_id': '1-new', 'counter': 120}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 16235, 'thing_id': '1-new', 'counter': 121}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 15386, 'thing_id': '1-new', 'counter': 122}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 15406, 'thing_id': '1-new', 'counter': 123}}
{'water-level': {'capacity': 1000.0, 'volume': 726.701, 'timer': 15628, 'thing_id': '1-new', 'counter': 124}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 18716, 'thing_id': '1-new', 'counter': 125}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 13663, 'thing_id': '1-new', 'counter': 126}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 14707, 'thing_id': '1-new', 'counter': 127}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 14242, 'thing_id': '1-new', 'counter': 128}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 14281, 'thing_id': '1-new', 'counter': 129}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 16812, 'thing_id': '1-new', 'counter': 130}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13681, 'thing_id': '1-new', 'counter': 131}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13708, 'thing_id': '1-new', 'counter': 132}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 14753, 'thing_id': '1-new', 'counter': 133}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 14074, 'thing_id': '1-new', 'counter': 134}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 16641, 'thing_id': '1-new', 'counter': 135}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13957, 'thing_id': '1-new', 'counter': 136}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 13726, 'thing_id': '1-new', 'counter': 137}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 16877, 'thing_id': '1-new', 'counter': 138}}
{'water-level': {'capacity': 1000.0, 'volume': 724.123, 'timer': 14947, 'thing_id': '1-new', 'counter': 139}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 16658, 'thing_id': '1-new', 'counter': 140}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13771, 'thing_id': '1-new', 'counter': 141}}
{'water-level': {'capacity': 1000.0, 'volume': 729.793, 'timer': 13938, 'thing_id': '1-new', 'counter': 142}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 17826, 'thing_id': '1-new', 'counter': 143}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 15710, 'thing_id': '1-new', 'counter': 144}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 15312, 'thing_id': '1-new', 'counter': 145}}
{'water-level': {'capacity': 1000.0, 'volume': 729.793, 'timer': 16360, 'thing_id': '1-new', 'counter': 146}}
{'water-level': {'capacity': 1000.0, 'volume': 729.793, 'timer': 16490, 'thing_id': '1-new', 'counter': 147}}
{'water-level': {'capacity': 1000.0, 'volume': 729.622, 'timer': 19099, 'thing_id': '1-new', 'counter': 148}}
{'water-level': {'capacity': 1000.0, 'volume': 723.952, 'timer': 15226, 'thing_id': '1-new', 'counter': 149}}
